Año;Mes;IMS Promedio ponderado Privado;IMS Industrias manufactureras;IMS Construcción;IMS Comercio;IMS Hoteles y Restaurantes;IMS Transporte, almacenamiento y comunicaciones;IMS Intermediación financiera;IMS Actividades inmobiliarias;IMS Enseñanza;IMS Servicios sociales y de salud;IMS Promedio simple Público;IMS Gobierno Central;IMS Empresas Públicas;IMS Gobiernos departamentales
2003;1;59,93;58,3;58,14;58,39;64,85;59,74;60,52;59,59;65,96;62,27;57,48666667;54,41;60,3;57,75
2003;2;60,06;58,78;58,04;58,36;64,87;59,56;61,2;59,72;65,73;62,27;57,87666667;54,41;61,41;57,81
2003;3;60,29;59,13;58,08;58,55;64,88;59,65;61,62;59,79;65,96;62,58;58,58333333;54,42;61,43;59,9
2003;4;60,59;59,31;58,04;58,82;64,65;60,96;61,91;60,07;66,27;62,6;58,60666667;54,44;61,43;59,95
2003;5;60,93;59,67;58,07;59,29;64,85;61,54;62,13;60,31;66,51;62,85;59,79666667;55,82;62,85;60,72
2003;6;60,93;59,79;58,15;59,15;64,75;61,57;62,95;59,65;66,39;62,78;59,80333333;55,83;62,86;60,72
2003;7;61,46;60,08;62,91;59,38;65,03;62,08;63,13;59,85;66,72;62,83;59,82333333;55,89;62,86;60,72
2003;8;61,71;60,09;63,56;59,67;65,25;62,14;63,83;60,66;66,66;62,86;59,84;55,93;62,91;60,68
2003;9;61,9;60,36;63,83;59,8;64,96;62,16;64,23;60,8;67,24;62,94;60,92333333;57,13;64,21;61,43
2003;10;62,18;60,9;63,82;59,95;65,1;62,24;64,55;61,71;67,23;63,06;61,32666667;57,63;64,21;62,14
2003;11;62,34;61,22;63,72;60,03;65,2;62,82;64,61;61,78;67,23;63,08;61,4;57,67;64,21;62,32
2003;12;62,42;61,39;63,74;60,03;64,91;62,93;64,88;62,08;67,19;63,02;61,45333333;57,81;64,23;62,32
2004;1;63,19;62,36;64,65;60,6;65,85;63,41;66,52;62,63;67,83;63,55;63,89;60,34;67,24;64,09
2004;2;63,36;62,44;66,52;60,77;65,29;63,45;66,37;62,71;68,19;63,54;63,83666667;60,18;67,24;64,09
2004;3;63,88;62,88;66,54;61,89;67,33;63,63;66,91;63,02;68,96;63,59;63,85333333;60,29;67,18;64,09
2004;4;63,97;63,04;66,51;61,85;67,46;63,93;67,15;63,05;69,05;63,6;64,15;60,21;67,18;65,06
2004;5;65,43;64,55;66,79;62,71;67,82;66,68;69,15;64,04;70,22;65,57;65,49666667;60,76;69,3;66,43
2004;6;65,67;64,88;66,74;63,01;67,97;66,74;69,89;64,1;70,16;65,8;65,53333333;60,86;69,31;66,43
2004;7;66,05;65,24;67,16;63,34;68,06;67,84;69,77;64,59;70,79;65,94;68,42333333;64,17;73,34;67,76
2004;8;67,07;66,05;70,7;63,82;68,3;68,12;71,07;65,03;71,64;67,82;68,95666667;64,24;74,87;67,76
2004;9;67,65;66,69;70,68;63,96;69,1;70,6;71,7;65,32;71,67;68,07;69,2;64,58;74,87;68,15
2004;10;67,98;67,05;70,69;64,09;68,45;70,59;72,92;66,56;71,81;68,27;69,69;64,54;74,87;69,66
2004;11;68,13;67,55;70,76;64,19;68,27;70,92;72,8;66,45;71,83;68,27;69,79666667;64,86;74,87;69,66
2004;12;68,3;67,89;70,74;64,3;68,55;71,09;72,68;66,59;71,78;68,57;69,81;64,87;74,9;69,66
2005;1;68,8;68,09;71,41;65,69;68,68;71,2;72,98;66,92;71,86;68,88;72,11666667;67,23;78,06;71,06
2005;2;69,45;68,27;75,13;65,64;68,75;71,29;74,56;67,1;72,24;70,25;72,16666667;67,31;78,07;71,12
2005;3;69,66;68,74;75,23;65,73;69,26;71,74;73,98;67,33;72,55;70,47;72,15;67,33;78;71,12
2005;4;69,88;69,04;75,25;65,84;69,17;72,35;74,1;67,62;72,7;70,61;72,33;67,4;78;71,59
2005;5;70,05;69,39;75,24;66,1;69,15;72,46;74,48;67,48;72,85;70,66;72,42666667;67,45;78,01;71,82
2005;6;70,46;69,5;75,25;66,43;69,17;72,86;75,45;67,69;74,13;71,35;72,39666667;67,37;78;71,82
2005;7;71,37;70,34;75,39;67,55;70,2;73,06;75,67;68,68;74,17;73,54;73,91666667;69,11;80,11;72,53
2005;8;72,85;72,22;77,72;69,04;72,55;73,47;76,12;70,89;77,67;74,25;75,17;72,11;80,84;72,56
2005;9;74,27;73,76;77,87;72,16;72,77;75,53;77,36;71,64;78,07;74,2;74,78666667;70,81;80,86;72,69
2005;10;74,55;73,89;77,89;72,4;73,89;75,88;78,25;71,82;78,09;74,41;75,78;71,32;80,86;75,16
